Participant,Window,Start,Mean_X,Std_X,Mean_Y,Std_Y,Dispersion
simplified,30s_1209,36240,514.0371963604433,340.8802917165727,598.4028823231513,191.43824705006307,390.9577671748915
simplified,30s_1210,36270,1140.563551672139,276.83039269819375,590.6081436088372,226.87523465875097,357.9209946662803
simplified,30s_1211,36300,964.3603093033915,151.53794604591465,535.5019693184882,268.8839671435361,308.6459733718565
simplified,30s_1212,36330,892.2848307866793,313.5373792488924,431.2879727930884,153.99225941273153,349.31261664203
simplified,30s_1213,36360,631.9732412599719,314.1719053214783,483.2924617484062,117.13991526233856,335.2994867890432
simplified,30s_1214,36390,271.8187690864626,208.2538723970658,444.71968630649826,59.24775719634252,216.51783321742838
simplified,30s_1215,36420,484.89537186905847,291.04116248580766,413.209751868564,49.37887299584337,295.2003241180977
simplified,30s_1216,36450,410.9332231805655,286.94726598762634,407.1563321007493,60.27271760551508,293.2090277350405
simplified,30s_1217,36480,528.2845798704162,266.5666114080885,514.9202377131331,109.39449272076413,288.14044033287684
simplified,30s_1218,36510,1057.8275795125405,279.0274479201986,549.4800974412074,215.32560564668566,352.4506109229648
simplified,30s_1219,36540,790.4967042314746,437.726042971916,370.9252154849275,216.64765555477243,488.40587153844797
simplified,30s_1220,36570,445.1560737655837,293.5933902158788,485.3512234704409,114.25729873488348,315.0425512413294
simplified,30s_1221,36600,397.1396895894839,284.3173638225322,494.69281067528175,78.53562795858562,294.96475760646985
simplified,30s_1222,36630,366.7449581175095,281.86354086792625,478.56265705731516,134.27541041200448,312.2129746053443
simplified,30s_1223,36660,708.6648810110124,388.94621795802453,640.5696395216249,132.06557482234848,410.7559817178667
simplified,30s_1224,36690,1062.198905500626,249.72720401747907,479.4078110958222,209.7696029826597,326.13948359849087
simplified,30s_1225,36720,986.352454874339,375.1055747400427,490.00535334377554,293.46635804391855,476.26326281230126
