Participant,Timestamp,X,Y
P5,106963739.2157,158.781924116131,640.512869872282
P5,106963769.6814,161.153974127608,628.387432814245
P5,106963800.1455,184.718381360883,608.560392217987
P5,106963830.0939,541.449435529648,601.094178805741
P5,106963860.2181,741.404362085339,594.229620845134
P5,106963890.6613,737.989627616147,596.797836773212
P5,106963920.3482,754.836148154356,596.959114327484
P5,106963950.7032,754.833781981381,593.55736258639
P5,106963981.1213,756.800784711928,590.939905267816
P5,106964011.7731,756.669942819309,587.44534829791
P5,106964041.435,757.574093834763,589.112661209852
P5,106964071.456,756.957949633414,594.254247232425
P5,106964106.4321,757.057531577864,601.050513874745
P5,106964132.0152,729.369992939243,667.042717667286
P5,106964162.403,728.198021299986,674.971943969309
P5,106964192.6087,719.558623465711,677.276288466652
P5,106964222.7656,727.912537421434,676.528594811488
P5,106964252.5711,731.610598289583,682.652469189621
P5,106964282.9485,725.808409811375,677.629680827328
P5,106964313.5354,725.662680575924,667.352057620722
P5,106964343.7558,726.264981944633,662.931016670552
P5,106964373.7811,734.88342059,653.065946681746
P5,106964403.9359,733.613410094792,649.965647561474
P5,106964433.7034,721.173789870992,626.895480311253
P5,106964464.1197,721.703648207456,625.656373220743
P5,106964494.3884,723.261517371882,622.545556745128
P5,106964524.937,720.144939044122,621.462725842684
P5,106964555.0633,721.320005611464,620.876647480981
P5,106964584.922,726.641004439742,617.147491529177
P5,106964614.9856,726.701756454023,613.332832629387
P5,106964645.5534,721.566976086132,612.378455034316
P5,106964675.7952,720.982549361665,611.958336023042
P5,106964706.1563,725.082695933953,626.528317471355
P5,106964736.3667,727.380831890511,661.422000659509
P5,106964766.3678,729.882892224482,668.890005171103
P5,106964796.5519,731.85692152933,661.574437500175
P5,106964826.8771,730.151631195054,667.785452481709
P5,106964857.0067,728.321618274028,666.913280787254
P5,106964887.2464,725.957467624578,660.962735876955
P5,106964917.2465,726.375792369107,658.401363154884
P5,106964947.5974,726.544435268921,646.434570938893
P5,106964977.7726,738.841748193115,631.715684260881
P5,106965007.9594,733.156081034418,628.343058846168
P5,106965038.2472,730.195460248344,622.730194940612
P5,106965068.3837,723.693832265197,632.056235531583
P5,106965098.5979,700.353859915804,759.020056626287
P5,106965128.8955,701.312300591244,768.595264862202
P5,106965158.9917,707.832643553076,780.812574639306
P5,106965189.4469,702.910078330226,775.325526254251
P5,106965219.7656,698.709572058867,775.026565195114
P5,106965249.5131,698.768499016243,771.119971556966
P5,106965280.2454,707.793453159736,767.224946818212
P5,106965310.1541,718.241461321389,772.011683444943
P5,106965340.2942,728.783083509349,777.26129888711
P5,106965370.3591,726.963992209383,771.500095060376
P5,106965400.7221,731.793869544881,757.895467238585
P5,106965430.8185,724.184379630239,752.511985732006
P5,106965461.3159,718.832333040617,740.874076918664
P5,106965491.8628,716.070546850307,704.763887754576
P5,106965521.8977,717.473055565356,585.145530055718
P5,106965551.4895,722.618840225489,552.17448083736
P5,106965582.2219,717.517598655845,547.932622969913
P5,106965612.32,720.78409204443,545.990766458312
P5,106965642.5778,716.329722710547,540.49245213081
P5,106965672.7801,716.782076187908,544.370690305839
P5,106965702.9589,715.11256767266,543.209983372885
P5,106965732.9958,710.075552781573,540.965961980586
P5,106965763.2165,709.493529811405,549.918293096719
P5,106965793.3997,708.407909828275,546.604782111336
P5,106965823.7739,708.174202724661,545.990971492989
P5,106965853.7081,711.473380249592,551.519336571367
P5,106965884.0935,712.694931625341,564.448250784444
P5,106965914.4217,711.328171135047,566.201861979263
P5,106965944.5901,709.501550921693,567.649675939478
P5,106965974.7895,693.257785864579,508.077705758377
P5,106966005.0955,686.276340175177,500.834894534138
P5,106966035.4343,683.772743714137,493.919867964529
P5,106966065.2089,682.199673813622,492.515087021238
